ID,Name_English,Countries,Degree_endangerment,Number_speakers,Description_location,endangerment_score,Countries_list,Region,Population,Area_sq_mi,Pop_density,Coastline,Migration,Infant_mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
332,Asturian-Leonese,"Spain, Portugal",Definitely endangered,150000.0,"Asturias and northwestern Castile and León, Cantabria and Extremadura, Spain; and the municipalities of Miranda do Douro and Vimioso in north-eastern Portugal",2,Spain,WESTERN EUROPE                     ,40397842.0,504782.0,"80,0","0,98","0,99","4,42",22000.0,"97,9","453,5","26,07","9,87","64,06",3,"10,06","9,72","0,04","0,295","0,665"
332,Asturian-Leonese,"Spain, Portugal",Definitely endangered,150000.0,"Asturias and northwestern Castile and León, Cantabria and Extremadura, Spain; and the municipalities of Miranda do Douro and Vimioso in north-eastern Portugal",2,Portugal,WESTERN EUROPE                     ,10605870.0,92391.0,"114,8","1,94","3,57","5,05",18000.0,"93,3","399,2","21,75","7,81","70,44",3,"10,72","10,5","0,053","0,274","0,673"
376,Latgalian,"Latvia, Russian Federation",Vulnerable,150000.0,eastern Latvia and cross-border areas in the Russian Federation; a regional language not recognized by the SIL,1,Latvia,BALTICS                            ,2274735.0,64589.0,"35,2","0,82","-2,23","9,55",10200.0,"99,8","321,4","29,67","0,47","69,86",3,"9,24","13,66","0,04","0,261","0,699"
376,Latgalian,"Latvia, Russian Federation",Vulnerable,150000.0,eastern Latvia and cross-border areas in the Russian Federation; a regional language not recognized by the SIL,1,Russia,C.W. OF IND. STATES ,142893540.0,17075200.0,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
404,Provençal,France,Severely endangered,150000.0,"the departments of Alpes-Maritimes (except the eastern corner), Bouches-du-Rhône, Var, and Vaucluse, the southern parts of Alpes de Haute-Provence, and the eastern parts of Gard; the original joint ISO code [prv] for Alpine Provençal and Provençal has been retired on false grounds",3,France,WESTERN EUROPE                     ,60876136.0,547030.0,"111,3","0,63","0,66","4,26",27600.0,"99,0","586,4","33,53","2,07","64,4",4,"11,99","9,14","0,022","0,214","0,764"
1174,Rabha,India,Vulnerable,150000.0,"Assam, Goalpara, Kamrup and Darrang districts",1,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
1996,Tamzabit,Algeria,Vulnerable,150000.0,"The M'zab Valley. Seven oases: Ghardaïa,  Beni-Isguen, El-Ateuf, Mélika, Bou Noura, Berrian, Guerrara.
",1,Algeria,NORTHERN AFRICA                    ,32930091.0,2381740.0,"13,8","0,04","-0,39",31,6000.0,"70,0","78,1","3,22","0,25","96,53",1,"17,14","4,61","0,101","0,6","0,298"
1128,Sherpa,"China, India, Nepal",Vulnerable,143693.0,Solukhumbu district and around Mt Everest,1,China,ASIA (EX. NEAR EAST)         ,1313973713.0,9596960.0,"136,9","0,15","-0,4","24,18",5000.0,"90,9","266,7","15,4","1,25","83,35",1,"13,25","6,97","0,125","0,473","0,403"
1128,Sherpa,"China, India, Nepal",Vulnerable,143693.0,Solukhumbu district and around Mt Everest,1,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
1128,Sherpa,"China, India, Nepal",Vulnerable,143693.0,Solukhumbu district and around Mt Everest,1,Nepal,ASIA (EX. NEAR EAST)         ,28287147.0,147181.0,"192,2","0,00",0,"66,98",1400.0,"45,2","15,9","21,68","0,64","77,68",,"30,98","9,31","0,38","0,21","0,41"
1154,Tangkhul,India,Vulnerable,142000.0,"Manipur, Ukhrul Dt.;; Nagaland, Phek Dt. Also spoken in Burma",1,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
1826,Q'aanjob'al,Guatemala,Vulnerable,139830.0,"Soloma, San Juan Ixcoy, Santa Eulalia, Barilla",1,Guatemala,LATIN AMER. & CARIB    ,12293545.0,108890.0,"112,9","0,37","-1,67","35,93",4100.0,"70,6","92,1","12,54","5,03","82,43",2,"29,88","5,2","0,227","0,188","0,585"
1569,Badaga,India,Definitely endangered,134514.0,"Tamil Nadu, Nilgiri and Konda Hills",2,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
1140,Angami,India,Vulnerable,132000.0,between Dimapur (Assam) and Kohima (Nagaland),1,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
1056,Laz,"Georgia, Turkey",Definitely endangered,130000.0,"the towns of Pazar (Atina), Ardeşen, Çamlıhemşin and Fındıklı in Rize Province and Arhavi (Arkabi/Arxave), Hopa (Xopa), Borçka and Sarp (Sarpi) in Artvin Province in Turkey; Sarpi is partly in the Republic of Ajaria on the Georgian side; there are also Laz villages, founded by refugees of the 1877–78 war, in the western parts of Turkey mainly in Sakarya, Kocaeli and Bolu provinces",2,Georgia,C.W. OF IND. STATES ,4661473.0,69700.0,"66,9","0,44","-4,7","18,59",2500.0,"99,0","146,6","11,44","3,86","84,7",3,"10,41","9,23","0,172","0,275","0,553"
